sample	day	photoperiod	temperature	strain	stock	medium
SRR1035984	0.541666667	L	28.5	ABWT	D	MB
SRR1714470	4	L	26.5	ABWT	Z	BAP
SRR1714469	4	L	26.5	ABWT	Z	BAP
SRR6829411	7	L	28	ABWT	E	BRDU
SRR6829412	7	L	28	ABWT	E	BRDU
SRR6829413	7	L	28	ABWT	E	BRDU
SRR3371419	5	L	28.5	AB	MDI	DMSO
SRR3371418	5	L	28.5	AB	MDI	DMSO
SRR3371417	5	L	28.5	AB	MDI	DMSO
SRR1004785	1.333333333	L	28	AB	NA	LN
SRR1004786	1.333333333	L	28	AB	NA	LN
SRR5163816	0.229166667	L	28	ABWT	N	SW
SRR5163828	0.229166667	L	28	ABWT	N	SW
SRR5163814	0.229166667	L	28	ABWT	N	SW
SRR5163815	0.229166667	L	28	ABWT	N	SW
SRR5163817	0.229166667	L	28	ABWT	N	SW
SRR2125734	5	L	28	ABWT	Z	E3
SRR633516	4	D	28	AB	IH	DS
SRR633540	4	D	28	AB	IH	DS
SRR633542	4	D	28	AB	IH	DS
ERR1442600	5	L	28	HLF	MP	EW
ERR1442599	5	L	28	HLF	MP	EW
ERR1442598	5	L	28	HLF	MP	EW
ERR1442597	5	L	28	HLF	MP	EW
ERR1442596	5	L	28	HLF	MP	EW
ERR1442595	4	L	28	HLF	MP	EW
ERR1442994	4	L	28	HLF	MP	EW
ERR1442593	4	L	28	HLF	MP	EW
ERR1442592	4	L	28	HLF	MP	EW
ERR1442591	4	L	28	HLF	MP	EW
SRR1035983	0.541666667	L	28.5	WT	D	MB
SRR1035982	0.541666667	L	28.5	WT	D	MB
SRR1035981	0.541666667	L	28.5	WT	D	MB
SRR2125733	5	L	28	WT	Z	E3
SRR1534349	6	L	28.5	WT	TU	DMSO
SRR1035980	0.541666667	L	28.5	rx3	D	MB
SRR1035979	0.541666667	L	28.5	rx3	D	MB
SRR1035978	0.541666667	L	28.5	rx3	D	MB
SRR6829414	7	L	28	n3	HU	BRDU
SRR6829415	7	L	28	n3	HU	BRDU
SRR6829416	7	L	28	n3	HU	BRDU
