Name,Study #,Sample #,Uploaded to server?,Paired end?,File_1_DD,File_2_DD
Alejandro Schmieder,PRJNA362479,SRS1928110,Yes,Yes,,
,PRJNA362479,SRS1928111,Yes,Yes,,
,PRJNA362479,SRS1928112,Yes,Yes,,
Alejandro Schmieder,PRJNA395216,SRS2373779,Yes,Yes,,
,PRJNA395216,SRS2373778,Yes,Yes,,
,PRJNA395216,SRS2373777,Yes,Yes,,
,PRJNA395216,SRS2373776,Yes,Yes,,
,PRJNA395216,SRS2373775,Yes,Yes,,
,PRJNA395216,SRS2373774,Yes,Yes,,
,PRJNA395216,SRS2373773,Yes,Yes,,
,PRJNA395216,SRS2373772,Yes,Yes,,
,PRJNA395216,SRS2373771,Yes,Yes,,
,PRJNA395216,SRS2373769,Yes,Yes,,
Alejandro Schmieder,PRJNA285816,SRX1048352,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/002/SRR2050892/SRR2050892.fastq.gz,
,PRJNA285816,SRX1048353,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/004/SRR2050894/SRR2050894.fastq.gz,
,PRJNA285816,SRX1048354,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/000/SRR2051090/SRR2051090.fastq.gz,
,PRJNA285816,SRX1048356,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/001/SRR2051091/SRR2051091.fastq.gz,
,PRJNA285816,SRX1048357,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/002/SRR2051092/SRR2051092.fastq.gz,
,PRJNA285816,SRX1048358,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/003/SRR2051093/SRR2051093.fastq.gz,
,PRJNA285816,SRX1048359,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/004/SRR2051094/SRR2051094.fastq.gz,
,PRJNA285816,SRX1048360,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/005/SRR2051095/SRR2051095.fastq.gz,
,PRJNA285816,SRX1048361,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/006/SRR2051096/SRR2051096.fastq.gz,
,PRJNA285816,SRX1048363,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR205/006/SRR2051096/SRR2051096.fastq.gz,
Alejandro Schmieder,PRJNA415636,SRX3768872,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/002/SRR6811832/SRR6811832_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/002/SRR6811832/SRR6811832_2.fastq.gz
,PRJNA415636,SRX3768871,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/001/SRR6811831/SRR6811831_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/001/SRR6811831/SRR6811831_2.fastq.gz
,PRJNA415636,SRX3768870,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/000/SRR6811830/SRR6811830_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/000/SRR6811830/SRR6811830_2.fastq.gz
,PRJNA415636,SRX3768869,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/009/SRR6811829/SRR6811829_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/009/SRR6811829/SRR6811829_2.fastq.gz
,PRJNA415636,SRX3768868,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/008/SRR6811828/SRR6811828_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/008/SRR6811828/SRR6811828_2.fastq.gz
,PRJNA415636,SRX3768867,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/007/SRR6811827/SRR6811827_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/007/SRR6811827/SRR6811827_2.fastq.gz
,PRJNA415636,SRX3768866,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/006/SRR6811826/SRR6811826_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/006/SRR6811826/SRR6811826_2.fastq.gz
,PRJNA415636,SRX3768865,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/005/SRR6811825/SRR6811825_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/005/SRR6811825/SRR6811825_2.fastq.gz
,PRJNA415636,SRX3768864,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/004/SRR6811824/SRR6811824_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/004/SRR6811824/SRR6811824_2.fastq.gz
,PRJNA415636,SRX3768863,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/003/SRR6811823/SRR6811823_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/003/SRR6811823/SRR6811823_2.fastq.gz
